state;state_code;fips_county;description;unsure
TX;48;451;Tom Green County;H1
TX;48;453;Travis County;H1
TX;48;455;Trinity County;H1
TX;48;457;Tyler County;H1
TX;48;459;Upshur County;H1
TX;48;461;Upton County;H1
TX;48;463;Uvalde County;H1
TX;48;465;Val Verde County;H1
TX;48;467;Van Zandt County;H1
TX;48;469;Victoria County;H1
TX;48;471;Walker County;H1
TX;48;473;Waller County;H1
TX;48;475;Ward County;H1
TX;48;477;Washington County;H1
TX;48;479;Webb County;H1
TX;48;481;Wharton County;H1
TX;48;483;Wheeler County;H1
TX;48;485;Wichita County;H1
TX;48;487;Wilbarger County;H1
TX;48;489;Willacy County;H1
TX;48;491;Williamson County;H1
TX;48;493;Wilson County;H1
TX;48;495;Winkler County;H1
TX;48;497;Wise County;H1
TX;48;499;Wood County;H1
TX;48;501;Yoakum County;H1
TX;48;503;Young County;H1
TX;48;505;Zapata County;H1
TX;48;507;Zavala County;H1
IN;18;001;Adams County;H1
IN;18;003;Allen County;H1
IN;18;005;Bartholomew County;H1
IN;18;007;Benton County;H1
IN;18;009;Blackford County;H1
IN;18;011;Boone County;H1
IN;18;013;Brown County;H1
IN;18;015;Carroll County;H1
IN;18;017;Cass County;H1
IN;18;019;Clark County;H1
IN;18;021;Clay County;H1
IN;18;023;Clinton County;H1
IN;18;025;Crawford County;H1
IN;18;027;Daviess County;H1
IN;18;029;Dearborn County;H1
IN;18;031;Decatur County;H1
IN;18;033;DeKalb County;H1
IN;18;035;Delaware County;H1
IN;18;037;Dubois County;H1
IN;18;039;Elkhart County;H1
IN;18;041;Fayette County;H1
IN;18;043;Floyd County;H1
IN;18;045;Fountain County;H1
IN;18;047;Franklin County;H1
IN;18;049;Fulton County;H1
IN;18;051;Gibson County;H1
IN;18;053;Grant County;H1
IN;18;055;Greene County;H1
IN;18;057;Hamilton County;H1
IN;18;059;Hancock County;H1
IN;18;061;Harrison County;H1
IN;18;063;Hendricks County;H1
IN;18;065;Henry County;H1
IN;18;067;Howard County;H1
IN;18;069;Huntington County;H1
IN;18;071;Jackson County;H1
IN;18;073;Jasper County;H1
IN;18;075;Jay County;H1
IN;18;077;Jefferson County;H1
IN;18;079;Jennings County;H1
IN;18;081;Johnson County;H1
IN;18;083;Knox County;H1
IN;18;085;Kosciusko County;H1
IN;18;087;LaGrange County;H1
IN;18;089;Lake County;H1
IN;18;091;LaPorte County;H1
IN;18;093;Lawrence County;H1
IN;18;095;Madison County;H1
IN;18;097;Marion County;H6
IN;18;099;Marshall County;H1
IN;18;101;Martin County;H1
IN;18;103;Miami County;H1
IN;18;105;Monroe County;H1
IN;18;107;Montgomery County;H1
IN;18;109;Morgan County;H1
IN;18;111;Newton County;H1
IN;18;113;Noble County;H1
IN;18;115;Ohio County;H1
IN;18;117;Orange County;H1
IN;18;119;Owen County;H1
IN;18;121;Parke County;H1
IN;18;123;Perry County;H1
IN;18;125;Pike County;H1
IN;18;127;Porter County;H1
IN;18;129;Posey County;H1
IN;18;131;Pulaski County;H1
IN;18;133;Putnam County;H1
IN;18;135;Randolph County;H1
IN;18;137;Ripley County;H1
IN;18;139;Rush County;H1
IN;18;141;St. Joseph County;H1
IN;18;143;Scott County;H1
IN;18;145;Shelby County;H1
IN;18;147;Spencer County;H1
IN;18;149;Starke County;H1
IN;18;151;Steuben County;H1
IN;18;153;Sullivan County;H1
IN;18;155;Switzerland County;H1
IN;18;157;Tippecanoe County;H1
IN;18;159;Tipton County;H1
IN;18;161;Union County;H1
IN;18;163;Vanderburgh County;H1
IN;18;165;Vermillion County;H1
IN;18;167;Vigo County;H1
IN;18;169;Wabash County;H1
IN;18;171;Warren County;H1
IN;18;173;Warrick County;H1
IN;18;175;Washington County;H1
IN;18;177;Wayne County;H1
IN;18;179;Wells County;H1
IN;18;181;White County;H1
IN;18;183;Whitley County;H1
NC;37;001;Alamance County;H1
NC;37;003;Alexander County;H1
NC;37;005;Alleghany County;H1
NC;37;007;Anson County;H1
NC;37;009;Ashe County;H1
NC;37;011;Avery County;H1
NC;37;013;Beaufort County;H1
NC;37;015;Bertie County;H1
NC;37;017;Bladen County;H1
NC;37;019;Brunswick County;H1
NC;37;021;Buncombe County;H1
NC;37;023;Burke County;H1
NC;37;025;Cabarrus County;H1
NC;37;027;Caldwell County;H1
NC;37;029;Camden County;H1
NC;37;031;Carteret County;H1
NC;37;033;Caswell County;H1
NC;37;035;Catawba County;H1
NC;37;037;Chatham County;H1
NC;37;039;Cherokee County;H1
NC;37;041;Chowan County;H1
NC;37;043;Clay County;H1
NC;37;045;Cleveland County;H1
NC;37;047;Columbus County;H1
NC;37;049;Craven County;H1
NC;37;051;Cumberland County;H1
NC;37;053;Currituck County;H1
NC;37;055;Dare County;H1
NC;37;057;Davidson County;H1
NC;37;059;Davie County;H1
NC;37;061;Duplin County;H1
NC;37;063;Durham County;H1
NC;37;065;Edgecombe County;H1
NC;37;067;Forsyth County;H1
NC;37;069;Franklin County;H1
NC;37;071;Gaston County;H1
NC;37;073;Gates County;H1
NC;37;075;Graham County;H1
NC;37;077;Granville County;H1
NC;37;079;Greene County;H1
NC;37;081;Guilford County;H1
NC;37;083;Halifax County;H1
NC;37;085;Harnett County;H1
NC;37;087;Haywood County;H1
NC;37;089;Henderson County;H1
NC;37;091;Hertford County;H1
NC;37;093;Hoke County;H1
NC;37;095;Hyde County;H1
NC;37;097;Iredell County;H1
NC;37;099;Jackson County;H1
NC;37;101;Johnston County;H1
NC;37;103;Jones County;H1
NC;37;105;Lee County;H1
NC;37;107;Lenoir County;H1
NC;37;109;Lincoln County;H1
NC;37;111;McDowell County;H1
NC;37;113;Macon County;H1
NC;37;115;Madison County;H1
NC;37;117;Martin County;H1
NC;37;119;Mecklenburg County;H1
NC;37;121;Mitchell County;H1
NC;37;123;Montgomery County;H1
NC;37;125;Moore County;H1
NC;37;127;Nash County;H1
NC;37;129;New Hanover County;H1
NC;37;131;Northampton County;H1
NC;37;133;Onslow County;H1
NC;37;135;Orange County;H1
NC;37;137;Pamlico County;H1
NC;37;139;Pasquotank County;H1
NC;37;141;Pender County;H1
NC;37;143;Perquimans County;H1
NC;37;145;Person County;H1
NC;37;147;Pitt County;H1
NC;37;149;Polk County;H1
NC;37;151;Randolph County;H1
NC;37;153;Richmond County;H1
NC;37;155;Robeson County;H1
NC;37;157;Rockingham County;H1
NC;37;159;Rowan County;H1
NC;37;161;Rutherford County;H1
NC;37;163;Sampson County;H1
NC;37;165;Scotland County;H1
NC;37;167;Stanly County;H1
NC;37;169;Stokes County;H1
NC;37;171;Surry County;H1
NC;37;173;Swain County;H1
NC;37;175;Transylvania County;H1
NC;37;177;Tyrrell County;H1
NC;37;179;Union County;H1
NC;37;181;Vance County;H1
NC;37;183;Wake County;H1
NC;37;185;Warren County;H1
NC;37;187;Washington County;H1
NC;37;189;Watauga County;H1
NC;37;191;Wayne County;H1
NC;37;193;Wilkes County;H1
NC;37;195;Wilson County;H1
NC;37;197;Yadkin County;H1
NC;37;199;Yancey County;H1
WA;53;001;Adams County;H1
WA;53;003;Asotin County;H1
WA;53;005;Benton County;H1
WA;53;007;Chelan County;H1
WA;53;009;Clallam County;H1
WA;53;011;Clark County;H1
WA;53;013;Columbia County;H1
WA;53;015;Cowlitz County;H1
WA;53;017;Douglas County;H1
WA;53;019;Ferry County;H1
WA;53;021;Franklin County;H1
WA;53;023;Garfield County;H1
WA;53;025;Grant County;H1
WA;53;027;Grays Harbor County;H1
WA;53;029;Island County;H1
WA;53;031;Jefferson County;H1
WA;53;033;King County;H1
WA;53;035;Kitsap County;H1
WA;53;037;Kittitas County;H1
WA;53;039;Klickitat County;H1
WA;53;041;Lewis County;H1
WA;53;043;Lincoln County;H1
WA;53;045;Mason County;H1
WA;53;047;Okanogan County;H1
WA;53;049;Pacific County;H1
WA;53;051;Pend Oreille County;H1
WA;53;053;Pierce County;H1
WA;53;055;San Juan County;H1
WA;53;057;Skagit County;H1
WA;53;059;Skamania County;H1
WA;53;061;Snohomish County;H1
WA;53;063;Spokane County;H1
WA;53;065;Stevens County;H1
WA;53;067;Thurston County;H1
WA;53;069;Wahkiakum County;H1
WA;53;071;Walla Walla County;H1
WA;53;073;Whatcom County;H1
WA;53;075;Whitman County;H1
WA;53;077;Yakima County;H1
MA;25;001;Barnstable County;H1
MA;25;003;Berkshire County;H4
MA;25;005;Bristol County;H1
MA;25;007;Dukes County;H1
MA;25;009;Essex County;H4
MA;25;011;Franklin County;H4
MA;25;013;Hampden County;H4
MA;25;015;Hampshire County;H4
MA;25;017;Middlesex County;H4
MA;25;019;Nantucket County;H4
MA;25;021;Norfolk County;H1
MA;25;023;Plymouth County;H1
MA;25;025;Suffolk County;H4
MA;25;027;Worcester County;H4
MA;25;027;Worcester County;H4
